,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,RCOM,EQ,2017-05-15,32.45,32.5,32.6,31.7,32.0,32.0,31.99,7126316,227997349.45,11883,1908042,26.77,5,2017,32.0,0.0,Slight or No change
1,RCOM,EQ,2017-05-16,32.0,32.05,32.35,31.85,32.0,32.1,32.12,7274881,233687705.5,9976,2211910,30.4,5,2017,32.05051580781792,0.0031250000000000444,Slight or No change
2,RCOM,EQ,2017-05-17,32.1,32.1,32.3,31.7,31.9,31.95,31.97,6245114,199636016.25,8838,1399815,22.41,5,2017,32.02011169937332,-0.004672897196261738,Slight or No change
3,RCOM,EQ,2017-05-18,31.95,31.6,31.9,31.0,31.05,31.05,31.34,11189938,350677557.6,17051,3629175,32.43,5,2017,31.67913278037246,-0.028169014084507005,Slight or No change
4,RCOM,EQ,2017-05-19,31.05,31.2,31.45,30.25,30.55,30.55,30.8,11898780,366454736.0,18065,3309529,27.81,5,2017,31.37193502947031,-0.01610305958132041,Slight or No change
5,RCOM,EQ,2017-05-22,30.55,30.75,30.8,29.7,29.9,29.8,30.08,10150535,305352630.7,19810,3463929,34.13,5,2017,31.075826380883754,-0.02454991816693941,Slight or No change
6,RCOM,EQ,2017-05-23,29.8,29.7,29.8,27.2,27.95,28.0,28.16,25930820,730092658.15,42741,5472973,21.11,5,2017,30.07654908671383,-0.06040268456375841,Slight or No change
7,RCOM,EQ,2017-05-24,28.0,28.0,28.2,25.3,25.9,25.9,26.34,46243616,1218051381.35,60442,12211614,26.41,5,2017,28.544431585752815,-0.07500000000000007,Slight or No change
8,RCOM,EQ,2017-05-25,25.9,25.9,26.55,25.15,26.2,25.95,25.9,28257448,731824827.85,35034,6872713,24.32,5,2017,28.06935882778466,0.0019305019305020377,Slight or No change
9,RCOM,EQ,2017-05-26,25.95,26.0,26.3,25.35,25.95,25.75,25.93,14024830,363634445.4,20142,4643580,33.11,5,2017,27.876129808579638,-0.0077071290944122905,Slight or No change
10,RCOM,EQ,2017-05-29,25.75,25.0,25.3,19.7,20.8,20.5,21.29,114681061,2441748320.65,121576,24407844,21.28,5,2017,24.88732190492601,-0.2038834951456311,Slight or No change
11,RCOM,EQ,2017-05-30,20.5,20.0,22.45,18.95,20.2,20.0,20.51,130001062,2666351361.75,131557,24960708,19.2,5,2017,23.349018026419216,-0.024390243902439046,Slight or No change
12,RCOM,EQ,2017-05-31,20.0,20.0,20.7,18.1,20.55,19.9,19.03,231757141,4409651786.1,144306,36142401,15.59,5,2017,22.109319764305535,-0.0050000000000001155,Slight or No change
13,RCOM,EQ,2017-06-01,19.9,20.5,21.15,19.85,20.7,20.75,20.56,119167702,2450061180.35,100392,23621882,19.82,6,2017,21.897280791994604,0.04271356783919611,Slight or No change
14,RCOM,EQ,2017-06-02,20.75,20.5,21.65,20.05,20.7,20.65,20.67,92064997,1902732035.8,76785,18572290,20.17,6,2017,21.76313477330338,-0.004819277108433773,Slight or No change
15,RCOM,EQ,2017-06-05,20.65,21.4,21.6,20.65,20.75,20.8,20.99,62528686,1312642831.15,48525,20457641,32.72,6,2017,21.697570551920432,0.007263922518159882,Slight or No change
16,RCOM,EQ,2017-06-06,20.8,20.8,20.85,19.75,20.2,20.15,20.18,44525105,898335244.25,37179,8623150,19.37,6,2017,21.626022396411553,-0.03125000000000011,Slight or No change
17,RCOM,EQ,2017-06-07,20.15,19.7,19.7,19.15,19.3,19.35,19.45,45032892,875696493.55,35975,11802183,26.21,6,2017,21.524350164666647,-0.03970223325062017,Slight or No change
18,RCOM,EQ,2017-06-08,19.35,19.3,19.4,18.65,18.65,18.75,18.97,32893792,624120950.15,30192,10666086,32.43,6,2017,21.43668507295286,-0.03100775193798455,Slight or No change
19,RCOM,EQ,2017-06-09,18.75,18.5,18.75,18.15,18.7,18.4,18.37,36481400,670055620.8,31954,10796436,29.59,6,2017,21.33386838757547,-0.01866666666666672,Slight or No change
20,RCOM,EQ,2017-06-12,18.4,18.4,19.1,18.1,18.4,18.35,18.53,60514009,1121182625.95,40724,15039813,24.85,6,2017,21.175197556876867,-0.0027173913043476716,Slight or No change
21,RCOM,EQ,2017-06-13,18.35,18.7,18.9,17.9,17.9,18.05,18.31,48409495,886139295.45,42295,13194312,27.26,6,2017,21.047677931151057,-0.016348773841961872,Slight or No change
22,RCOM,EQ,2017-06-14,18.05,18.05,18.45,17.8,18.3,18.3,18.17,26861764,488161412.55,25180,5117563,19.05,6,2017,20.98684398629142,0.013850415512465464,Slight or No change
23,RCOM,EQ,2017-06-15,18.3,18.3,19.2,18.1,19.1,19.05,18.84,46460987,875402816.9,39000,8846100,19.04,6,2017,20.915409450127168,0.040983606557376984,Slight or No change
24,RCOM,EQ,2017-06-16,19.05,19.2,19.35,18.9,19.0,19.05,19.09,38367415,732279978.05,26317,14100255,36.75,6,2017,20.860273866063686,0.0,Slight or No change
25,RCOM,EQ,2017-06-19,19.05,19.15,19.3,19.0,19.05,19.1,19.16,15347919,294077559.95,13575,3704580,24.14,6,2017,20.839704530638553,0.002624671916010568,Slight or No change
26,RCOM,EQ,2017-06-20,19.1,19.05,19.35,18.95,19.05,19.05,19.14,12657900,242294058.6,10761,3266782,25.81,6,2017,20.822621372461303,-0.002617801047120505,Slight or No change
27,RCOM,EQ,2017-06-21,19.05,19.0,19.95,19.0,19.75,19.7,19.61,27711196,543335435.05,25118,6215943,22.43,6,2017,20.79964233227397,0.034120734908136496,Slight or No change
28,RCOM,EQ,2017-06-22,19.7,19.95,20.95,19.8,20.2,20.1,20.42,47859858,977388618.85,41215,10030183,20.96,6,2017,20.77575306983171,0.020304568527918843,Slight or No change
29,RCOM,EQ,2017-06-23,20.1,20.3,21.45,19.9,21.4,21.2,20.83,66228789,1379424681.9,52791,11440536,17.27,6,2017,20.794894324381065,0.05472636815920384,Slight or No change
30,RCOM,EQ,2017-06-27,21.2,21.5,22.2,21.25,21.6,21.7,21.73,54013086,1173855937.8,45197,9231227,17.09,6,2017,20.82701685316918,0.02358490566037741,Slight or No change
31,RCOM,EQ,2017-06-28,21.7,22.0,22.0,20.7,20.9,20.85,21.29,38623787,822353783.9,25594,8180110,21.18,6,2017,20.827585695067448,-0.03917050691244228,Slight or No change
32,RCOM,EQ,2017-06-29,20.85,21.0,22.3,20.95,22.25,22.0,21.64,51864136,1122484028.5,32476,16146865,31.13,6,2017,20.865297422040914,0.05515587529976007,Slight or No change
33,RCOM,EQ,2017-06-30,22.0,22.15,22.2,21.25,21.55,21.5,21.67,25920579,561789872.1,17816,7149114,27.58,6,2017,20.875339347963664,-0.022727272727272707,Slight or No change
34,RCOM,EQ,2017-07-03,21.5,21.6,22.1,21.35,21.75,21.85,21.81,23267104,507403107.75,17301,6405638,27.53,7,2017,20.888987486634292,0.016279069767441978,Slight or No change
35,RCOM,EQ,2017-07-04,21.85,21.95,21.95,20.7,20.95,20.95,21.14,26674009,564009924.7,23669,5544164,20.78,7,2017,20.889951467368874,-0.041189931350114506,Slight or No change
36,RCOM,EQ,2017-07-05,20.95,20.75,22.1,20.35,22.0,21.8,21.41,24868060,532308395.1,22467,7133307,28.68,7,2017,20.90316190183277,0.04057279236276856,Slight or No change
37,RCOM,EQ,2017-07-06,21.8,21.9,22.9,21.6,22.35,22.45,22.39,36589307,819058620.65,27184,8354498,22.83,7,2017,20.93550872252196,0.029816513761467878,Slight or No change
38,RCOM,EQ,2017-07-07,22.45,22.2,22.95,22.0,22.75,22.8,22.52,24148778,543855722.6,21224,4461342,18.47,7,2017,20.960891265084573,0.015590200445434466,Slight or No change
39,RCOM,EQ,2017-07-10,22.8,25.0,25.0,23.25,24.15,24.35,24.28,10085657,244911968.7,13696,2954695,29.3,7,2017,20.980051773604945,0.06798245614035081,Slight or No change
40,RCOM,EQ,2017-07-11,24.35,24.35,24.95,23.75,24.35,24.2,24.44,38248562,934968356.9,37816,6929762,18.12,7,2017,21.047639573998495,-0.006160164271047264,Slight or No change
41,RCOM,EQ,2017-07-12,24.2,24.3,24.6,24.1,24.25,24.3,24.32,17496434,425530025.7,19320,3455437,19.75,7,2017,21.07857117471335,0.004132231404958775,Slight or No change
42,RCOM,EQ,2017-07-13,24.3,24.3,24.6,23.65,23.9,23.95,24.08,18775020,452014344.45,18278,4831134,25.73,7,2017,21.107579517371885,-0.01440329218107006,Slight or No change
43,RCOM,EQ,2017-07-14,23.95,23.95,24.45,23.7,24.35,24.3,24.1,17208260,414803103.8,14328,4346601,25.26,7,2017,21.136868123969542,0.014613778705636848,Slight or No change
44,RCOM,EQ,2017-07-17,24.3,24.2,24.75,24.2,24.35,24.35,24.38,8709874,212334343.8,8572,2652790,30.46,7,2017,21.15171961542757,0.002057613168724215,Slight or No change
45,RCOM,EQ,2017-07-18,24.35,24.5,24.7,23.45,23.7,23.7,24.0,18202674,436831895.85,15013,4005506,22.01,7,2017,21.176099801493052,-0.026694045174538106,Slight or No change
46,RCOM,EQ,2017-07-19,23.7,23.8,24.9,23.8,24.65,24.75,24.5,28816833,705926807.7,25266,7607772,26.4,7,2017,21.229422820804178,0.044303797468354444,Slight or No change
47,RCOM,EQ,2017-07-20,24.75,24.5,24.7,24.1,24.5,24.45,24.47,11478546,280906302.45,12670,2937148,25.59,7,2017,21.24844994867878,-0.0121212121212122,Slight or No change
48,RCOM,EQ,2017-07-21,24.45,24.5,24.75,23.8,24.35,24.25,24.22,20771213,503098341.35,19469,3625798,17.46,7,2017,21.280199803054547,-0.008179959100204415,Slight or No change
